Sample,Time_s,SetPoint_V,ActualValue_V,Error_V,ErrorInt_V,ErrorDif_V,OutputVoltage_V,Kp,Ki,Kd
56,16.8887975,3.15,3.17595307917889,-0.0259530791788851,-2.90539546625122,-0.0146813474709988,1.1636997356615,0.4,0.401,0.8
57,17.1009253,3.15,3.20381231671554,-0.0538123167155429,-2.91681055460899,0.0062094645646774,1.19613353073617,0.4,0.401,0.8
58,17.3308911,3.15,3.19354838709677,-0.0435483870967737,-2.92682519428641,-0.0043442367427137,1.18760086835339,0.4,0.401,0.8
59,17.6378449,3.15,3.18572825024438,-0.0357282502443788,-2.93779211646628,-0.0076990350757047,1.18618671074016,0.4,0.401,0.8
60,17.9411771,3.15,3.21505376344086,-0.0650537634408601,-2.95752501764907,0.0131028099919478,1.22247128544718,0.4,0.401,0.8
61,18.3529146,3.15,3.15200391006843,-0.0020039100684266,-2.95835010257087,-0.0229038339467627,1.16877688800088,0.4,0.401,0.8
62,18.6566367,3.15,3.24340175953079,-0.0934017595307921,-2.98671828111926,0.0353457190923845,1.26331130981505,0.4,0.401,0.8
63,18.9508164,3.15,3.21652003910068,-0.0665200391006842,-3.00628712626589,0.0109180774097517,1.2408636152007,0.4,0.401,0.8
64,19.2202938,3.15,3.21212121212121,-0.062121212121212,-3.02302738899316,0.00627041820088661,1.24209880239545,0.4,0.401,0.8
65,19.5350954,3.15,3.20234604105572,-0.0523460410557184,-3.03950600647116,-0.00191627176656148,1.23824730760398,0.4,0.401,0.8
66,19.9459532,3.15,3.26392961876833,-0.113929618768329,-3.08631487899316,0.0288034429625114,1.3062268683536,0.4,0.401,0.8
67,20.2205947,3.15,3.15982404692082,-0.00982404692082062,-3.08901296997556,-0.0413405075456524,1.20955141369201,0.4,0.401,0.8
68,20.4901114,3.15,3.17155425219941,-0.0215542521994134,-3.09482220089932,-0.0249966482476257,1.22964808484229,0.4,0.401,0.8
69,20.7341291,3.15,3.19745845552297,-0.0474584555229716,-3.10640290406158,-0.000855555366258172,1.26396650244488,0.4,0.401,0.8
70,21.0667239,3.15,3.09530791788856,0.0546920821114369,-3.08821260195015,-0.0619285811114275,1.16695355564829,0.4,0.401,0.8
71,21.4078656,3.15,3.1852394916911,-0.0352394916911045,-3.10023426205279,0.0044222548028485,1.26082753960189,0.4,0.401,0.8
72,21.677091,3.15,3.2297165200391,-0.0797165200391006,-3.12169597404692,0.0375235697917825,1.31370554944188,0.4,0.401,0.8
73,21.941057,3.15,3.21065493646139,-0.0606549364613875,-3.13770681500489,0.0161745139667754,1.29542201857494,0.4,0.401,0.8
74,22.2057968,3.15,3.20772238514174,-0.0577223851417403,-3.15298822770283,0.0106863688008898,1.29598632840624,0.4,0.401,0.8
75,22.5203131,3.15,3.18670576735093,-0.0367057673509286,-3.16453278983871,-0.00616832210891348,1.27872529797856,0.4,0.401,0.8
76,22.92235,3.15,3.14222873900293,0.00777126099706793,-3.16140845615836,-0.0259862613285548,1.24382727745783,0.4,0.401,0.8
77,23.2114372,3.15,3.19843597262952,-0.0484359726295209,-3.1754106758651,0.00997449201355238,1.30069366368456,0.4,0.401,0.8
78,23.497512,3.15,3.20967741935484,-0.0596774193548386,-3.19248288167155,0.0159227157343457,1.31679477587971,0.4,0.401,0.8
79,23.8108468,3.15,3.15884652981427,-0.0088465298142717,-3.1952548073216,-0.0208151400124905,1.26818367765168,0.4,0.401,0.8
80,24.0733552,3.15,3.16129032258065,-0.0112903225806451,-3.19821861183773,-0.0180143859509015,1.27259028361847,0.4,0.401,0.8
81,24.4464453,3.15,3.19403714565005,-0.0440371456500479,-3.21464843491202,0.00741435515849273,1.31262036478653,0.4,0.401,0.8
82,24.65889,3.15,3.16226783968719,-0.0122678396871945,-3.21725467243402,-0.0194915815106558,1.27943299431239,0.4,0.401,0.8
83,24.8526878,3.15,3.14222873900293,0.00777126099706749,-3.21574861914956,-0.0377740443188614,1.25618745642506,0.4,0.401,0.8
84,25.1668485,3.15,3.1871945259042,-0.0371945259042032,-3.22743367744379,0.00998449529612034,1.31706631125354,0.4,0.401,0.8
85,25.4432032,3.15,3.18621700879765,-0.0362170087976539,-3.23744241804497,0.00837288240001251,1.3193995190751,0.4,0.401,0.8
86,25.7977206,3.15,3.21652003910068,-0.0665200391006837,-3.26102492935484,0.0223168577441854,1.35213249850691,0.4,0.401,0.8
87,26.0964967,3.15,3.21407624633431,-0.0640762463343107,-3.28016938033724,0.0195484610503879,1.35661718888927,0.4,0.401,0.8
88,26.3763461,3.15,3.13440860215054,0.0155913978494624,-3.27580613700391,-0.0402396377260256,1.27516999161796,0.4,0.401,0.8
89,26.6441258,3.15,3.1930596285435,-0.0430596285434994,-3.2873366314174,0.0101627363818693,1.34357602972127,0.4,0.401,0.8
90,26.9206603,3.15,3.11876832844575,0.0312316715542522,-3.27869999673998,-0.0458574261798709,1.26558008912713,0.4,0.401,0.8
91,27.2663118,3.15,3.17693059628543,-0.0269305962854345,-3.28800859774193,0.00430354050824965,1.33270651861529,0.4,0.401,0.8
92,27.5524768,3.15,3.1099706744868,0.0400293255131969,-3.27655360580645,-0.0426396106237178,1.26377457722413,0.4,0.401,0.8
93,27.8460595,3.15,3.19550342130987,-0.0455034213098733,-3.28991262309384,0.0250184293056266,1.35747107382908,0.4,0.401,0.8
94,28.1381263,3.15,3.15982404692082,-0.00982404692082062,-3.29278190104105,-0.00431371336134965,1.32088419039671,0.4,0.401,0.8
95,28.4312439,3.15,3.16764418377322,-0.0176441837732164,-3.29795372184262,0.00189723648264673,1.33105490515429,0.4,0.401,0.8
96,28.8462311,3.15,3.18475073313783,-0.0347507331378298,-3.31237483128543,0.00931643336580724,1.34961574729324,0.4,0.401,0.8
97,29.1171029,3.15,3.1080156402737,0.0419843597262952,-3.30100245219453,-0.0452393275920731,1.27071677736583,0.4,0.401,0.8
98,29.4082497,3.15,3.16226783968719,-0.0122678396871945,-3.30457419446236,0.00359678830807836,1.33291881850075,0.4,0.401,0.8
99,29.7257077,3.15,3.16520039100684,-0.0152003910068426,-3.30939968019062,0.00448646746615176,1.3367386021321,0.4,0.401,0.8
100,30.0520062,3.15,3.13685239491691,0.013147605083089,-3.30510963637341,-0.013883567429488,1.30898306820891,0.4,0.401,0.8
